2025-07-11 18:03:07,238:INFO:Connecting to 149.154.167.51:443/TcpFull...
2025-07-11 18:03:10,632:INFO:Connection to 149.154.167.51:443/TcpFull complete!
2025-07-11 18:03:32,869:INFO:Phone migrated to 4
2025-07-11 18:03:32,997:INFO:Reconnecting to new data center 4
2025-07-11 18:03:33,276:INFO:Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-11 18:03:33,278:INFO:Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-11 18:03:33,279:INFO:Connecting to 149.154.167.92:443/TcpFull...
2025-07-11 18:03:35,156:INFO:Connection to 149.154.167.92:443/TcpFull complete!
2025-07-11 18:04:14,788:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:16,273:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:18,614:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:20,719:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:22,731:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:25,015:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:27,773:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:30,318:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:34,049:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:37,625:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:39,965:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:42,523:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:43,990:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:45,630:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:48,474:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:50,348:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-11 18:04:53,345:INFO:Starting direct file download in chunks of 131072 at 0, stride 131072
